datetime,subba,parent,value,temperature_2m
2024-03-08 21:00:00+00:00,ZONH,NYIS,265,2.1085
2024-03-08 22:00:00+00:00,ZONC,NYIS,1504,1.6085
2024-03-08 22:00:00+00:00,ZOND,NYIS,636,1.6085
2024-03-08 22:00:00+00:00,ZONE,NYIS,638,1.6085
2024-03-08 22:00:00+00:00,ZONF,NYIS,1061,1.6085
2024-03-08 22:00:00+00:00,ZONB,NYIS,957,1.6085
2024-03-08 22:00:00+00:00,ZONA,NYIS,1689,1.6085
2024-03-08 22:00:00+00:00,ZONK,NYIS,1962,1.6085
2024-03-08 22:00:00+00:00,ZONJ,NYIS,5572,1.6085
2024-03-08 22:00:00+00:00,ZONI,NYIS,591,1.6085
2024-03-08 22:00:00+00:00,ZONG,NYIS,909,1.6085
2024-03-08 22:00:00+00:00,ZONH,NYIS,283,1.6085
2024-03-08 23:00:00+00:00,ZOND,NYIS,655,1.2085
2024-03-08 23:00:00+00:00,ZONE,NYIS,786,1.2085
2024-03-08 23:00:00+00:00,ZONA,NYIS,1715,1.2085
2024-03-08 23:00:00+00:00,ZONC,NYIS,1662,1.2085
2024-03-08 23:00:00+00:00,ZONF,NYIS,1223,1.2085
2024-03-08 23:00:00+00:00,ZONB,NYIS,1051,1.2085
2024-03-08 23:00:00+00:00,ZONG,NYIS,1042,1.2085
2024-03-08 23:00:00+00:00,ZONK,NYIS,2164,1.2085
2024-03-08 23:00:00+00:00,ZONJ,NYIS,5666,1.2085
2024-03-08 23:00:00+00:00,ZONI,NYIS,621,1.2085
2024-03-08 23:00:00+00:00,ZONH,NYIS,305,1.2085
2024-03-09 00:00:00+00:00,ZOND,NYIS,669,0.8585
2024-03-09 00:00:00+00:00,ZONE,NYIS,858,0.8585
2024-03-09 00:00:00+00:00,ZONC,NYIS,1723,0.8585
2024-03-09 00:00:00+00:00,ZONB,NYIS,1099,0.8585
2024-03-09 00:00:00+00:00,ZONA,NYIS,1753,0.8585
2024-03-09 00:00:00+00:00,ZONF,NYIS,1303,0.8585
2024-03-09 00:00:00+00:00,ZONG,NYIS,1110,0.8585
2024-03-09 00:00:00+00:00,ZONK,NYIS,2324,0.8585
2024-03-09 00:00:00+00:00,ZONJ,NYIS,5686,0.8585
2024-03-09 00:00:00+00:00,ZONI,NYIS,652,0.8585
2024-03-09 00:00:00+00:00,ZONH,NYIS,328,0.8585
2024-03-09 01:00:00+00:00,ZOND,NYIS,669,0.6585
2024-03-09 01:00:00+00:00,ZONE,NYIS,858,0.6585
2024-03-09 01:00:00+00:00,ZONF,NYIS,1288,0.6585
2024-03-09 01:00:00+00:00,ZONC,NYIS,1698,0.6585
2024-03-09 01:00:00+00:00,ZONB,NYIS,1097,0.6585
2024-03-09 01:00:00+00:00,ZONA,NYIS,1756,0.6585
2024-03-09 01:00:00+00:00,ZONK,NYIS,2304,0.6585
2024-03-09 01:00:00+00:00,ZONJ,NYIS,5588,0.6585
2024-03-09 01:00:00+00:00,ZONI,NYIS,645,0.6585
2024-03-09 01:00:00+00:00,ZONG,NYIS,1105,0.6585
2024-03-09 01:00:00+00:00,ZONH,NYIS,327,0.6585
2024-03-09 02:00:00+00:00,ZOND,NYIS,665,0.3585
2024-03-09 02:00:00+00:00,ZONE,NYIS,855,0.3585
2024-03-09 02:00:00+00:00,ZONF,NYIS,1259,0.3585
2024-03-09 02:00:00+00:00,ZONC,NYIS,1648,0.3585
2024-03-09 02:00:00+00:00,ZONA,NYIS,1717,0.3585
2024-03-09 02:00:00+00:00,ZONB,NYIS,1066,0.3585
2024-03-09 02:00:00+00:00,ZONK,NYIS,2249,0.3585
2024-03-09 02:00:00+00:00,ZONJ,NYIS,5444,0.3585
2024-03-09 02:00:00+00:00,ZONI,NYIS,629,0.3585
2024-03-09 02:00:00+00:00,ZONG,NYIS,1084,0.3585
2024-03-09 02:00:00+00:00,ZONH,NYIS,316,0.3585
2024-03-09 03:00:00+00:00,ZONC,NYIS,1587,0.108500004
2024-03-09 03:00:00+00:00,ZOND,NYIS,653,0.108500004
2024-03-09 03:00:00+00:00,ZONE,NYIS,846,0.108500004
2024-03-09 03:00:00+00:00,ZONF,NYIS,1214,0.108500004
2024-03-09 03:00:00+00:00,ZONB,NYIS,1026,0.108500004
2024-03-09 03:00:00+00:00,ZONA,NYIS,1678,0.108500004
2024-03-09 03:00:00+00:00,ZONI,NYIS,607,0.108500004
2024-03-09 03:00:00+00:00,ZONJ,NYIS,5276,0.108500004
2024-03-09 03:00:00+00:00,ZONK,NYIS,2155,0.108500004
2024-03-09 03:00:00+00:00,ZONG,NYIS,1055,0.108500004
2024-03-09 03:00:00+00:00,ZONH,NYIS,306,0.108500004
2024-03-09 04:00:00+00:00,ZONC,NYIS,1518,-0.041500002
2024-03-09 04:00:00+00:00,ZOND,NYIS,640,-0.041500002
